Determiner,Compatibility
a,singular_count
an,singular_count
the,any
this,singular_any
that,singular_any
these,plural_any
those,plural_any
my,any
your,any
his,any
her,any
its,any
our,any
their,any
some,plural_or_uncount
any,plural_or_uncount
no,any
many,plural_count
few,plural_count
several,plural_count
much,uncount
little,uncount
more,any
most,any
all,any
enough,any
other,any
such,any
another,singular_count
each,singular_count
every,singular_count
either,singular_count
neither,singular_count
both,plural_count
which,any
what,any
whatever,any
whichever,any
various,plural_count
