Verb_Base,Past,PastParticiple,Gerund,Regularity,Takes_Object,Object_Categories
be,was/were,been,being,irregular,never,
have,had,had,having,irregular,optional,any
do,did,done,doing,irregular,optional,any
go,went,gone,going,irregular,never,
come,came,come,coming,irregular,never,
get,got,got/gotten,getting,irregular,optional,any
make,made,made,making,irregular,optional,any
take,took,taken,taking,irregular,optional,any
give,gave,given,giving,irregular,optional,any
put,put,put,putting,irregular,optional,any
run,ran,run,runing,irregular,never,
write,wrote,written,writing,irregular,optional,any
see,saw,seen,seeing,irregular,optional,any
say,said,said,saying,irregular,optional,any
teach,taught,taught,teaching,irregular,optional,any
buy,bought,bought,buying,irregular,optional,any
bring,brought,brought,bringing,irregular,optional,any
think,thought,thought,thinking,irregular,never,
catch,caught,caught,catching,irregular,optional,any
feel,felt,felt,feeling,irregular,optional,any
find,found,found,finding,irregular,optional,any
hold,held,held,holding,irregular,optional,any
keep,kept,kept,keeping,irregular,optional,any
leave,left,left,leaving,irregular,optional,any
lose,lost,lost,losing,irregular,optional,any
meet,met,met,meeting,irregular,optional,any
pay,paid,paid,paying,irregular,optional,any
read,read,read,reading,irregular,optional,any
sell,sold,sold,selling,irregular,optional,any
send,sent,sent,sending,irregular,optional,any
sit,sat,sat,sitting,irregular,never,
sleep,slept,slept,sleeping,irregular,never,
speak,spoke,spoken,speaking,irregular,never,
spend,spent,spent,spending,irregular,optional,any
stand,stood,stood,standing,irregular,never,
swim,swam,swum,swimming,irregular,never,
tell,told,told,telling,irregular,optional,any
understand,understood,understood,understanding,irregular,optional,any
wear,wore,worn,wearing,irregular,required,clothing
win,won,won,winning,irregular,optional,any
begin,began,begun,begining,irregular,optional,any
break,broke,broken,breaking,irregular,optional,any
choose,chose,chosen,choosing,irregular,optional,any
draw,drew,drawn,drawing,irregular,optional,any
drink,drank,drunk,drinking,irregular,optional,any
drive,drove,driven,driving,irregular,optional,any
eat,ate,eaten,eating,irregular,optional,any
fall,fell,fallen,falling,irregular,optional,any
fly,flew,flown,flying,irregular,optional,any
forget,forgot,forgotten,forgeting,irregular,optional,any
grow,grew,grown,growing,irregular,optional,any
hear,heard,heard,hearing,irregular,optional,any
hide,hid,hidden,hiding,irregular,optional,any
lead,led,led,leading,irregular,optional,any
let,let,let,letting,irregular,optional,any
light,lit,lit,lighting,irregular,optional,any
ride,rode,ridden,riding,irregular,optional,any
ring,rang,rung,ringing,irregular,optional,any
rise,rose,risen,rising,irregular,optional,any
shake,shook,shaken,shaking,irregular,optional,any
show,showed,shown,showwing,irregular,optional,any
sing,sang,sung,singing,irregular,optional,any
sweep,swept,swept,sweeping,irregular,optional,any
throw,threw,thrown,throwing,irregular,optional,any
wake,woke,woken,waking,irregular,optional,any
accept,accepted,accepted,accepting,regular,optional,any
allow,allowed,allowed,allowing,regular,optional,any
arrive,arrived,arrived,arriving,regular,never,
ask,asked,asked,asking,regular,optional,any
bake,baked,baked,baking,regular,optional,any
call,called,called,calling,regular,optional,any
clean,cleaned,cleaned,cleaning,regular,optional,any
close,closed,closed,closing,regular,optional,any
cook,cooked,cooked,cooking,regular,optional,any
copy,copied,copied,copying,regular,optional,any
dance,danced,danced,dancing,regular,never,
deliver,delivered,delivered,delivering,regular,optional,any
enjoy,enjoyed,enjoyed,enjoying,regular,optional,any
explain,explained,explained,explaining,regular,optional,any
finish,finished,finished,finishing,regular,optional,any
help,helped,helped,helping,regular,optional,any
improve,improved,improved,improving,regular,optional,any
invite,invited,invited,inviting,regular,optional,any
join,joined,joined,joining,regular,optional,any
kick,kicked,kicked,kicking,regular,optional,any
learn,learned,learned,learning,regular,optional,any
like,liked,liked,liking,regular,optional,any
live,lived,lived,living,regular,never,
look,looked,looked,looking,regular,never,
love,loved,loved,loving,regular,optional,any
move,moved,moved,moving,regular,optional,any
need,needed,needed,needing,regular,optional,any
open,opened,opened,opening,regular,optional,any
paint,painted,painted,painting,regular,optional,any
play,played,played,playing,regular,optional,any
practice,practiced,practiced,practicing,regular,optional,any
pull,pulled,pulled,pulling,regular,optional,any
push,pushed,pushed,pushing,regular,optional,any
rain,rained,rained,raining,regular,never,
repair,repaired,repaired,repairing,regular,optional,any
